description,timestamp,fullness,collection,location
281 Franklin Street @ Batterymarch Street,04/15/2014 01:30:00 AM,GREEN,True,"(42.35694113, -71.05320165)"
157 Pearl St,06/25/2014 08:48:00 AM,GREEN,True,"(42.3545293, -71.05337349)"
Hanover & Congress St (Across City Hall Plaza),09/07/2014 10:59:00 AM,YELLOW,False,"(42.36169421, -71.05753524)"
Summer & Chauncey (Rear Entrance Macy's),09/23/2014 12:18:00 PM,YELLOW,False,"(42.3545003, -71.0591524)"
282 Newbury Street,03/17/2014 08:59:00 AM,GREEN,True,"(42.34915253, -71.0839643)"
SE Corner 148 Brookline Ave (in front of Chipotle),07/21/2014 12:47:00 AM,GREEN,True,"(42.34476148, -71.10106409)"
554 Tremont,10/04/2014 07:12:00 PM,YELLOW,False,"(42.34386, -71.07167)"
67 Cambridge Street (across from Kinsale),06/22/2014 04:58:00 AM,GREEN,True,"(42.36063278, -71.06030432)"
Stuart St & Warrenton St,02/08/2014 07:24:00 PM,YELLOW,False,"(42.35093982, -71.06588898)"
Columbus @ Dartmouth st.,04/13/2014 08:59:00 PM,RED,False,"(42.34604, -71.07515)"
89 South Street  (Al's South Street Café),10/27/2014 07:53:00 PM,YELLOW,False,"(42.351844, -71.057489)"
Otis & Summer St (Qdobas),03/24/2014 06:51:00 AM,GREEN,True,"(42.35425845, -71.05853408)"
706 Huntington Ave,10/11/2014 12:13:00 PM,YELLOW,False,"(42.33442962, -71.10367716)"
Huntington at Blogden (Opposite from Boston Public Library near Mass Pike Entrance),08/01/2014 03:58:00 PM,YELLOW,False,"(42.34906712, -71.07752406)"
Hemenway and Westland St (NE Corner),11/16/2014 05:41:00 PM,RED,False,"(42.34400844, -71.08980028)"
Surface & Hanover,04/20/2014 03:20:00 AM,GREEN,True,"(42.3621424, -71.0564964)"
339 Washington St,08/20/2014 05:12:00 PM,GREEN,True,"(42.3573978, -71.0583383)"
Columbus @ Claredon,08/25/2014 07:31:00 PM,GREEN,True,"(42.3472534, -71.0735185)"
Chestnut Hill Ave and Sutherland Rd,07/17/2014 10:55:00 AM,GREEN,True,"(42.33630431, -71.15095793)"
Tremont st and School st,06/24/2014 12:59:00 PM,YELLOW,False,"(42.35805, -71.06033)"
"464 Hanover Street ""7/11 Store""",06/03/2014 03:21:00 PM,YELLOW,False,"(42.36710187, -71.05258981)"
357 Hanover Street,01/10/2014 05:49:00 PM,YELLOW,False,"(42.36471, -71.0535)"
328 Tremont St (Entrance of Mass Pike Towers),12/29/2014 08:53:00 AM,YELLOW,False,"(42.34852344, -71.06565747)"
261 Hanover Street,06/26/2014 05:57:00 PM,GREEN,True,"(42.3636, -71.05487)"
328 Washington St (Cohen's Fashion Optical),11/01/2014 08:37:00 PM,GREEN,True,"(42.3568756, -71.0588741)"
683 Tremont,03/21/2014 05:36:00 PM,GREEN,True,"(42.34143247, -71.07657887)"
1745 Washington Street,11/25/2014 10:15:00 AM,RED,False,"(42.3366, -71.07687)"
544 Washington (across from Harlem place),05/20/2014 02:33:00 PM,YELLOW,False,"(42.35403424, -71.06200033)"
339 Washington St,05/27/2014 04:46:00 PM,RED,False,"(42.3573978, -71.0583383)"
NW Boylston and Ipswich (CVS),04/04/2014 08:06:00 PM,GREEN,True,"(42.34529268, -71.09557276)"
261 Hanover Street,05/16/2014 09:33:00 AM,GREEN,True,"(42.3636, -71.05487)"
"Atlantic Ave & Cross St ""Mercantile Mall""",05/26/2014 02:08:00 PM,RED,False,"(42.36106417, -71.05279434)"
"309 Atlantic Avenue ""Lavenderia Cleaners""",05/06/2014 06:03:00 PM,GREEN,True,"(42.36361784, -71.05116706)"
Washington across from Old South Meeting House,06/05/2014 09:39:00 AM,YELLOW,False,"(42.35707, -71.05862)"
100 Meridian @ London,03/09/2014 09:32:00 AM,YELLOW,False,"(42.37344585, -71.03900682)"
Yawkey Way and Van Ness - Gate D,10/03/2014 10:24:00 AM,YELLOW,False,"(42.34558373, -71.09820418)"
471 Columbus Ave,04/14/2014 07:32:00 PM,GREEN,True,"(42.34326, -71.07838)"
30 Kneeland,11/09/2014 03:12:00 PM,YELLOW,False,"(42.35078, -71.06184)"
683 Tremont,11/28/2014 04:12:00 PM,YELLOW,False,"(42.34143247, -71.07657887)"
Hemenway and Westland St (SE Corner),02/08/2014 08:02:00 AM,YELLOW,False,"(42.3438776, -71.08983783)"
Newbury & Mass Ave / Opposite of Urban Outfitters,06/08/2014 02:15:00 AM,GREEN,True,"(42.3480288, -71.08803024)"
1124 Boylston St.,09/20/2014 04:38:00 PM,YELLOW,False,"(42.3467963, -71.0889104)"
342 Hanover (White Hen Pantry),05/07/2014 01:47:00 PM,GREEN,True,"(42.3648934, -71.0536149)"
477 Washington St (in front of Army Navy),06/01/2014 02:53:00 AM,GREEN,True,"(42.35491079, -71.06104026)"
Commonweath Ave and Harvard (opp side of McDonald's),12/07/2014 02:43:00 PM,YELLOW,False,"(42.35019012, -71.13069301)"
71 State St (Jos A Bank),04/11/2014 02:06:00 PM,RED,False,"(42.35903276, -71.05596238)"
1080 Boylston Street,10/31/2014 12:56:00 AM,GREEN,True,"(42.3471459, -71.0882423)"
2 Avenue De Lafayette and Washington St.,01/08/2014 11:17:00 AM,RED,False,"(42.3538783, -71.0621546)"
Tremont st and School st,09/27/2014 02:25:00 PM,YELLOW,False,"(42.35805, -71.06033)"
289 Huntington Ave / Huntington (West) & Gainsborough,01/06/2014 08:14:00 AM,GREEN,True,"(42.34163422, -71.08656168)"
Kneeland & Harrison - Wai's Restaurant,05/08/2014 09:10:00 AM,YELLOW,False,"(42.3507294, -71.06157001)"
Tremont Street & Court Street,07/18/2014 02:10:00 PM,RED,False,"(42.35911123, -71.05951447)"
1103 Comm Ave (Packards Corner),03/10/2014 08:25:00 AM,GREEN,True,"(42.3519266, -71.1254758)"
NW Bromfield and Washington (opp Payless Shoes),06/28/2014 03:44:00 AM,GREEN,True,"(42.35647066, -71.05946609)"
659 Tremont St,09/27/2014 07:17:00 PM,YELLOW,False,"(42.34198461, -71.07515395)"
Summer & Chauncey (Rear Entrance Macy's),08/05/2014 03:49:00 PM,RED,False,"(42.3545003, -71.0591524)"
Stuart St & Trinity St (Near Parking Garage),07/18/2014 05:25:00 PM,GREEN,True,"(42.3486047, -71.0753806)"
Clinton and North St opposite the Millennium Hotel,09/26/2014 04:21:00 PM,RED,False,"(42.3607261, -71.0558865)"
311 Huntington Ave / Huntington (Westbound) and Opera,03/22/2014 09:41:00 PM,RED,False,"(42.34052963, -71.0888865)"
South Ipswich and Vaness - Trolley stop,08/04/2014 07:37:00 AM,YELLOW,False,"(42.3458841, -71.09580897)"
NE corner Mass Ave. & Washington St.,08/22/2014 11:44:00 AM,YELLOW,False,"(42.33651515, -71.07681729)"
Boylston St (Prudential Entrance),06/12/2014 07:43:00 AM,GREEN,True,"(42.34854316, -71.08267211)"
Atlantic & Milk,09/12/2014 10:54:00 AM,YELLOW,False,"(42.35870062, -71.051439)"
240 Newbury Street in front of CVS,10/18/2014 03:21:00 PM,YELLOW,False,"(42.34967365, -71.08208099)"
477 Washington St (opp Army & Navy Store),08/15/2014 06:40:00 PM,GREEN,True,"(42.35497874, -71.06113146)"
State St & Surface Rd (in front of Old  Town Trolley Tours),06/10/2014 05:01:00 PM,YELLOW,False,"(42.35943121, -71.0524513)"
260 Washington  Street,05/12/2014 11:15:00 AM,YELLOW,False,"(42.35786, -71.05792)"
289 Hanover Street,05/23/2014 05:40:00 PM,GREEN,True,"(42.36389, -71.05433)"
311 Huntington Ave / Huntington (Westbound) and Opera,08/10/2014 11:50:00 AM,GREEN,True,"(42.34052963, -71.0888865)"
Franklin & Pearl St (Opp 1 Federal),04/20/2014 02:06:00 PM,YELLOW,False,"(42.35618674, -71.05483124)"
554 Tremont,08/13/2014 11:46:00 AM,YELLOW,True,"(42.34386, -71.07167)"
Atlantic Ave and High St,09/05/2014 03:40:00 PM,GREEN,True,"(42.35673339, -71.05064149)"
Tremont 15 and Stuart St (Shanghai Restaurant),05/28/2014 07:06:00 PM,GREEN,True,"(42.35118328, -71.06469595)"
540 Commonwealth,04/14/2014 03:17:00 PM,RED,False,"(42.34847785, -71.09715705)"
Clinton and North St opposite the Millennium Hotel,06/12/2014 12:45:00 PM,YELLOW,False,"(42.3607261, -71.0558865)"
Mass Ave South at Comm Ave Overpass,07/16/2014 05:25:00 AM,RED,False,"(42.34915125, -71.0887775)"
373 Washington St (in front of jewelers),11/23/2014 08:13:00 AM,YELLOW,False,"(42.35621469, -71.05977536)"
Summer & Chauncy (CVS),01/22/2014 08:29:00 AM,YELLOW,False,"(42.35436489, -71.05918599)"
Milk & Oliver St (On Island),04/20/2014 03:50:00 PM,YELLOW,False,"(42.35732731, -71.055)"
Devonshire & Water St (T Station),06/10/2014 06:19:00 PM,GREEN,True,"(42.3575052, -71.05738735)"
59 Temple Place,08/04/2014 10:07:00 AM,GREEN,True,"(42.35492047, -71.06156127)"
59 Lansdown (Across from Fenway @ Parking Garage),07/18/2014 07:53:00 PM,YELLOW,False,"(42.34720651, -71.09754082)"
281 Franklin Street @ Batterymarch Street,07/05/2014 08:11:00 AM,YELLOW,False,"(42.35694113, -71.05320165)"
276 Hanover (Cafe Pompei),07/15/2014 02:12:00 AM,GREEN,True,"(42.363799, -71.0545002)"
NE Brookline Ave and Lansdowne,07/30/2014 08:49:00 PM,GREEN,True,"(42.3473084, -71.09849386)"
342 Hanover (White Hen Pantry),10/03/2014 09:09:00 AM,GREEN,True,"(42.3648934, -71.0536149)"
150 Newbury Street,05/09/2014 11:49:00 AM,YELLOW,False,"(42.35081, -71.07782)"
Causeway and Haverhill (front of the T Stop),04/15/2014 01:19:00 AM,GREEN,True,"(42.36578318, -71.06071701)"
218 Hanover ST (cvs),06/03/2014 08:00:00 PM,GREEN,True,"(42.36297845, -71.05539223)"
Boylston St (Copley T Station),02/18/2014 12:52:00 PM,GREEN,True,"(42.3498149, -71.07807363)"
89 South Street  (Al's South Street Café),10/15/2014 03:46:00 PM,GREEN,True,"(42.351844, -71.057489)"
Causeway & Friend (opp Halftime Pizza),07/02/2014 12:45:00 AM,GREEN,True,"(42.36507157, -71.06176386)"
477 Washington St (in front of Army Navy),10/31/2014 04:22:00 PM,GREEN,True,"(42.35491079, -71.06104026)"
NE Washington & Summer Street (in front of Macy's),03/22/2014 07:19:00 PM,YELLOW,False,"(42.35543176, -71.06036137)"
42 Cross Street (J.Pace & son Deli),01/17/2014 08:12:00 PM,YELLOW,False,"(42.36319254, -71.05678416)"
276 Hanover (Cafe Pompei),07/09/2014 06:54:00 AM,GREEN,True,"(42.363799, -71.0545002)"
Stanhope St and Clarendon St (Across from Parking Garage),05/13/2014 01:01:00 AM,GREEN,True,"(42.34812825, -71.07390013)"
Huntington and Dartmouth St (Library),06/10/2014 02:11:00 PM,YELLOW,False,"(42.34932688, -71.07701842)"
200 Newbury Street,07/18/2014 04:23:00 PM,YELLOW,False,"(42.35023008, -71.0800102)"
Opposite 144 Dartmouth St @ Back Bay T-Station,10/23/2014 10:08:00 PM,GREEN,True,"(42.34754691, -71.07594325)"
Atlantic Ave and Pearl St,05/05/2014 11:14:00 AM,RED,False,"(42.35398413, -71.05282188)"
339 Washington St,08/22/2014 02:56:00 PM,YELLOW,False,"(42.3573978, -71.0583383)"
Edgerly Street and Westland (Whole Food Market),11/03/2014 08:26:00 AM,GREEN,True,"(42.34370133, -71.08703302)"
67 Cambridge Street (across from Kinsale),05/16/2014 10:05:00 AM,GREEN,True,"(42.36063278, -71.06030432)"
355 Newbury St,07/08/2014 07:13:00 PM,YELLOW,False,"(42.34831644, -71.08751047)"
Washington and Stuart Street (Boston Kitchen Pizza),10/09/2014 03:02:00 AM,RED,False,"(42.3510218, -71.0631478)"
Yawkey Way and Van Ness - Gate D,07/20/2014 11:31:00 AM,YELLOW,False,"(42.34558373, -71.09820418)"
Commonweath Ave and Harvard (opp side of McDonald's),09/29/2014 12:41:00 PM,GREEN,True,"(42.35019012, -71.13069301)"
North St (Fanueil Hall),12/04/2014 11:24:00 AM,YELLOW,False,"(42.36053881, -71.05663783)"
Beacon Street and Ayr St (Tedeschi),04/28/2014 10:16:00 AM,GREEN,True,"(42.33654692, -71.14878916)"
1623 Washington St @ West Concord,03/06/2014 10:19:00 AM,YELLOW,False,"(42.33802, -71.07484)"
1080 Boylston Street,08/11/2014 07:58:00 PM,YELLOW,False,"(42.3471459, -71.0882423)"
373 Washington St (in front of jewelers),12/15/2014 12:21:00 AM,YELLOW,True,"(42.35621469, -71.05977536)"
